Adj Close,Volume
1981.599976,2656430000
1986.51001,2579560000
1992.369995,2638920000
1988.400024,2301860000
1997.920044,2233880000
2000.02002,2451950000
2000.119995,2344350000
1996.73999,2282400000
2003.369995,2259130000
2002.280029,2819980000
2000.719971,2809980000
1997.650024,3072410000
2007.709961,2818300000
2001.540039,2789090000
1988.439941,2882830000
1995.689941,2912430000
1997.449951,2941690000
1985.540039,3206570000
1984.130005,2776530000
1998.97998,3160310000
2001.569946,3209420000
2011.359985,3235340000
2010.400024,4880220000
1994.290039,3349670000
1982.77002,3279350000
1998.300049,3313850000
1965.98999,3273050000
1982.849976,2929440000
1977.800049,3094440000
1972.290039,3951100000
1946.160034,4188590000
1946.170044,4012510000
1967.900024,3560970000
1964.819946,3358220000
1935.099976,3687870000
1968.890015,4441890000
1928.209961,4344020000
1906.130005,4550540000
1874.73999,4352580000
1877.699951,4812010000
1862.48999,6090800000
1862.76001,5073150000
1886.76001,4482120000
1904.01001,3331210000
1941.280029,3987090000
1927.109985,3761930000
1950.819946,3789250000
1964.579956,3078380000
1961.630005,3538860000
1985.050049,3653260000
1982.300049,3740350000
1994.650024,3586150000
2018.050049,4292290000
2017.810059,3555440000
2012.099976,3956260000
2023.569946,3766590000
2031.209961,3669770000
2031.920044,3704280000
2038.26001,3284940000
2039.680054,2958320000
2038.25,3246650000
2039.329956,3455270000
2039.819946,3227130000
2041.319946,3152890000
2051.800049,3416190000
2048.719971,3390850000
2052.75,3128290000
2063.5,3916420000
2069.409912,3128060000
2067.030029,3392940000
2072.830078,2745260000
2067.560059,2504640000
2053.439941,4159010000
2066.550049,3686650000
2074.330078,3612680000
2071.919922,3408340000
2075.370117,3419620000
2060.310059,3800990000
2059.820068,3970150000
2026.140015,4114440000
2035.329956,3917950000
2002.329956,4157650000
1989.630005,4361990000
1972.73999,4958680000
2012.890015,4942370000
2061.22998,4703380000
2070.649902,6465530000
2078.540039,3369520000
2082.169922,3043950000
2081.879883,1416980000
2088.77002,1735230000
2090.570068,2452360000
2080.350098,2440280000
2058.899902,2606070000
2058.199951,2708700000
2020.579956,3799120000
2002.609985,4460110000
2025.900024,3805480000
2062.139893,3934010000
2044.810059,3364140000
2028.26001,3456460000
2023.030029,4107300000
2011.27002,4378680000
1992.670044,4276720000
2019.420044,4056410000
2022.550049,3944340000
2032.119995,3730070000
2063.149902,4176050000
2051.820068,3573560000
2057.090088,3465760000
2029.550049,3329810000
2002.160034,4067530000
2021.25,4127140000
1994.98999,4568650000
2020.849976,4008330000
2050.030029,4615900000
2041.51001,4141920000
2062.52002,3821990000
2055.469971,4232970000
2046.73999,3549540000
2068.590088,3669850000
2068.530029,3596860000
2088.47998,3788350000
2096.98999,3527450000
2100.340088,3361750000
2099.679932,3370020000
2097.449951,3247100000
2110.300049,3281600000
2109.659912,3093680000
2115.47998,3199840000
2113.860107,3312340000
2110.73999,3408690000
2104.5,3547380000
2117.389893,3409490000
2107.780029,3262300000
2098.530029,3421110000
2101.040039,3103030000
2071.26001,3853570000
2079.429932,3349090000
2044.160034,3668900000
2040.23999,3406570000
2065.949951,3405860000
2053.399902,3498560000
2081.189941,3295600000
2074.280029,3221840000
2099.5,4128210000
2089.27002,3305220000
2108.100098,5554120000
2104.419922,3267960000
2091.5,3189820000
2061.050049,3521140000
2056.149902,3510670000
2061.02002,3008550000
2086.23999,2917690000
2067.889893,3376550000
2059.689941,3543270000
2066.959961,3095960000
2080.620117,3302970000
2076.330078,3065510000
2081.899902,3265330000
2091.179932,3172360000
2102.060059,3156200000
2092.429932,2908420000
2095.840088,3301270000
2106.629883,4013760000
2104.98999,3434120000
2081.179932,3627600000
2100.399902,3000160000
2097.290039,3243410000
2107.959961,3348480000
2112.929932,3636670000
2117.689941,3375780000
2108.919922,3438750000
2114.76001,3546270000
2106.850098,4074970000
2085.51001,4509680000
2108.290039,3379390000
2114.48999,3091580000
2089.459961,3793950000
2080.149902,3792210000
2088,3676640000
2116.100098,3399440000
2105.330078,2992670000
2099.120117,3139520000
2098.47998,3374260000
2121.100098,3225740000
2122.72998,3092080000
2129.199951,2888190000
2127.830078,3296030000
2125.850098,3025880000
2130.820068,3070460000
2126.060059,2571860000
2104.199951,3342130000
2123.47998,3127960000
2120.790039,2980350000
2107.389893,3927390000
